saddr,success,ttl
193.224.41.75,1,43
193.224.41.82,1,43
193.224.41.163,1,43
193.224.41.10,0,43
193.224.41.158,0,43
193.224.41.115,1,41
193.224.41.71,1,107
193.224.41.164,1,43
193.224.41.8,1,43
193.224.41.88,1,43
193.224.41.181,0,45
193.224.41.54,0,43
193.224.41.202,0,45
193.224.41.236,1,42
193.224.41.35,1,43
193.224.41.191,1,107
193.224.41.220,1,107
193.224.41.134,1,43
193.224.41.116,1,42
193.224.41.199,1,43
193.224.41.105,1,43
193.224.41.102,1,107
193.224.41.182,0,45
193.224.41.180,0,45
193.224.41.240,0,45
193.224.41.131,0,43
193.224.41.5,0,45
193.224.41.174,0,45
193.224.41.185,0,45
193.224.41.86,1,43
193.224.41.110,1,43
193.224.41.159,1,43
193.224.41.2,1,43
193.224.41.172,1,43
193.224.41.114,1,43
193.224.41.173,1,43
193.224.41.89,1,43
193.224.41.39,0,43
193.224.41.218,1,42
193.224.41.235,1,42
193.224.41.205,0,43
193.224.41.107,0,43
193.224.41.127,1,43
193.224.41.252,1,43
193.224.41.192,0,43
193.224.41.230,1,43
193.224.41.157,1,42
193.224.41.83,1,43
193.224.41.38,0,43
193.224.41.206,1,43
193.224.41.247,1,43
193.224.41.118,1,42
193.224.41.95,1,107
193.224.41.21,1,45
193.224.41.117,1,42
193.224.41.36,1,43
193.224.41.70,1,43
193.224.41.74,1,43
193.224.41.151,1,43
193.224.41.234,1,43
193.224.41.37,0,43
193.224.41.20,1,107
193.224.41.41,1,43
193.224.41.126,1,43
193.224.41.106,1,43
193.224.41.72,1,43
193.224.41.81,1,43
193.224.41.145,1,43
193.224.41.219,1,42
193.224.41.26,0,43
193.224.41.1,0,237
193.224.41.0,0,237
193.224.41.255,0,237
193.224.41.45,0,235
193.224.41.213,0,235
193.224.41.44,0,235
193.224.41.51,0,235
193.224.41.85,0,235
193.224.41.31,0,235
193.224.41.160,0,235
193.224.41.128,0,235
193.224.41.49,0,235
193.224.41.231,0,235
193.224.41.60,0,235
193.224.41.67,0,235
193.224.41.249,0,235
193.224.41.84,0,235
193.224.41.109,0,237
