saddr,success,ttl
31.169.48.16,0,250
31.169.50.145,0,208
31.169.49.248,0,248
31.169.50.9,0,80
31.169.50.230,1,56
31.169.52.43,0,249
31.169.48.140,0,250
31.169.52.200,0,249
31.169.50.2,0,55
31.169.50.37,0,207
31.169.51.251,0,56
31.169.54.127,0,249
31.169.52.62,0,249
31.169.52.39,0,249
31.169.48.85,0,250
31.169.51.161,0,208
31.169.52.15,0,249
31.169.54.17,0,249
31.169.54.211,0,249
31.169.50.181,1,118
31.169.54.132,0,249
31.169.54.19,0,249
31.169.50.10,0,55
31.169.48.192,0,250
31.169.48.158,0,250
31.169.50.248,0,250
31.169.50.93,1,55
31.169.49.133,0,247
31.169.50.177,0,246
31.169.52.228,0,249
31.169.52.31,0,249
31.169.52.2,0,249
31.169.52.156,0,249
31.169.52.3,0,249
31.169.52.196,0,249
31.169.54.248,0,249
31.169.54.126,0,249
31.169.54.247,0,249
31.169.54.192,0,249
31.169.54.146,0,249
31.169.54.160,0,249
31.169.54.49,0,249
31.169.48.172,0,248
31.169.50.105,0,144
31.169.52.24,0,249
31.169.52.125,0,249
31.169.54.61,0,249
31.169.54.141,0,249
31.169.54.71,0,249
31.169.54.195,0,249
31.169.48.7,1,58
31.169.48.228,0,250
31.169.52.56,0,249
31.169.52.226,0,249
31.169.52.199,0,249
31.169.52.90,0,249
31.169.54.153,0,249
31.169.54.106,0,249
31.169.54.170,0,249
31.169.54.179,0,249
31.169.49.119,0,248
31.169.54.254,0,249
31.169.54.85,0,249
