saddr,success,ttl
23.49.29.89,1,57
20.209.25.4,1,117
20.251.218.19,1,118
20.251.88.171,1,52
20.100.238.103,1,118
2.20.166.148,1,57
2.20.165.135,1,57
23.44.33.100,1,57
5.100.177.28,0,54
20.251.168.10,1,53
20.251.19.235,1,118
20.100.219.193,1,51
4.220.11.10,1,118
5.226.164.195,0,245
4.235.113.191,1,53
2.18.175.165,1,58
23.44.40.22,1,57
5.226.163.2,0,245
5.226.166.118,0,245
5.45.152.223,0,54
5.226.165.177,0,245
2.18.173.220,1,58
23.45.145.4,1,57
23.49.20.65,1,57
5.100.184.150,0,54
23.49.16.16,1,57
2.20.167.107,1,57
2.20.165.70,1,57
23.44.45.4,1,57
20.251.182.223,1,118
5.83.230.125,0,52
23.45.147.208,1,57
23.44.37.30,1,57
20.251.111.48,1,118
20.251.205.230,1,118
2.18.174.139,1,58
4.220.31.91,1,117
23.44.46.70,1,57
23.49.30.237,1,57
31.24.135.16,1,54
20.251.170.65,1,52
3.167.4.167,1,244
20.251.108.176,1,117
20.251.183.83,1,53
20.100.220.59,1,117
20.251.152.10,1,117
2.20.160.31,1,57
23.44.36.165,1,57
23.49.22.129,1,57
20.251.140.164,1,52
4.220.38.120,1,52
20.251.232.129,1,117
4.220.30.130,1,117
20.100.239.198,1,117
23.44.42.26,1,57
2.20.164.72,1,57
5.100.181.210,0,54
20.100.122.66,0,50
20.251.70.8,1,118
4.220.17.36,1,117
20.251.181.231,1,53
20.251.247.200,1,118
23.44.37.43,1,57
23.49.25.184,1,57
23.45.147.224,1,57
2.20.165.217,1,57
23.44.35.12,1,57
20.100.162.231,1,53
2.20.160.3,1,57
20.100.220.178,1,118
3.166.254.132,1,244
20.209.25.166,1,117
23.36.76.202,1,57
5.100.176.159,0,54
31.45.36.27,0,56
3.167.2.214,1,244
23.0.161.45,1,58
20.251.212.218,1,54
20.100.183.207,1,118
31.24.135.248,1,54
2.20.164.139,1,57
2.20.161.107,1,57
3.167.6.147,1,244
5.100.184.146,0,54
4.220.46.186,1,118
20.251.16.117,1,53
2.20.165.40,1,57
23.49.20.12,1,57
3.167.1.240,1,246
4.235.101.203,1,53
20.251.208.129,1,53
23.45.147.131,1,57
3.167.6.134,1,244
5.249.254.49,0,53
23.44.36.131,1,57
20.47.48.224,1,118
5.100.184.19,0,54
23.44.45.95,1,57
23.49.18.96,1,57
2.20.161.135,1,57
20.100.41.31,1,54
3.167.4.248,1,244
5.100.181.116,0,109
20.47.48.211,1,118
20.251.168.133,0,54
2.20.165.252,1,57
23.49.28.93,1,57
31.24.135.25,1,54
23.45.144.187,1,57
5.100.181.128,0,54
3.167.10.186,1,244
5.249.254.175,1,53
5.100.177.224,0,54
23.49.22.44,1,57
23.49.17.240,1,57
31.45.57.58,0,56
2.20.161.32,1,57
23.44.43.204,1,57
23.44.41.7,1,57
23.45.146.196,1,57
23.44.33.31,1,57
3.167.1.133,1,244
23.44.38.230,1,57
23.49.24.34,1,57
23.49.23.33,1,57
23.49.16.112,1,57
23.44.45.32,1,57
20.251.168.153,1,53
3.167.1.11,1,241
20.251.79.114,1,117
23.44.44.140,1,57
23.49.23.116,1,57
23.44.36.69,1,57
4.220.40.216,1,53
23.44.33.132,1,57
20.251.129.44,1,118
20.251.109.64,1,118
23.44.35.37,1,57
23.45.144.208,1,57
5.83.230.208,0,52
4.220.48.58,1,52
5.100.178.57,0,54
23.49.26.10,1,57
23.44.32.6,1,57
23.49.20.197,1,57
20.100.217.38,1,117
23.44.36.57,1,57
23.49.19.5,1,57
4.220.3.140,1,118
3.166.253.171,1,244
5.100.178.242,0,54
20.100.216.119,1,117
20.100.252.54,1,118
3.167.10.207,1,244
3.167.3.174,1,244
23.44.45.21,1,57
4.220.29.228,1,118
20.100.230.189,1,117
23.44.44.205,1,57
31.24.128.94,1,54
23.44.39.235,1,57
31.24.128.109,1,54
5.100.187.74,0,54
4.220.8.84,1,53
23.44.46.5,1,57
5.249.229.194,1,55
3.167.6.119,1,244
31.24.135.20,1,54
23.49.26.175,1,57
20.100.255.235,1,117
5.249.255.207,1,53
4.220.5.83,1,118
20.251.16.101,1,117
5.100.181.135,0,54
23.44.36.21,1,57
3.167.0.195,1,241
5.249.232.21,0,54
23.49.17.108,1,57
20.251.92.242,1,118
23.49.30.179,1,57
3.167.2.239,1,244
4.220.3.65,1,118
20.251.238.243,1,52
2.18.174.118,1,58
23.44.39.177,1,57
5.83.225.170,0,53
2.20.163.155,1,57
20.251.140.65,1,118
4.219.3.227,1,117
20.251.95.90,1,117
20.100.8.29,1,54
4.220.10.33,1,53
3.167.8.43,1,244
4.220.29.86,1,118
4.220.4.144,1,118
3.167.4.183,1,241
5.100.180.82,0,54
23.44.41.174,1,57
23.44.39.101,1,57
23.49.19.227,1,57
23.44.38.126,1,57
3.167.2.238,1,244
4.220.21.87,1,118
20.251.111.81,1,118
23.44.38.199,1,57
23.44.36.114,1,57
2.20.163.157,1,57
23.49.20.175,1,57
23.49.31.194,1,57
2.20.160.77,1,57
23.45.147.217,1,57
20.251.246.205,1,118
4.220.16.255,1,52
4.220.25.38,1,52
20.251.129.208,1,117
23.49.19.179,1,57
2.18.173.165,1,58
3.167.8.10,1,241
23.44.45.7,1,57
23.44.38.30,1,57
23.49.17.16,1,57
31.24.135.171,1,54
20.251.235.78,1,118
4.220.30.148,1,118
23.49.23.90,1,57
20.251.111.41,1,117
4.220.28.64,1,53
4.235.98.29,1,53
20.251.86.73,1,118
4.220.43.206,1,117
2.18.175.177,1,58
2.20.162.121,1,57
2.23.13.87,1,58
3.167.9.19,1,244
23.49.31.99,1,57
23.44.43.247,1,57
5.100.185.14,0,54
23.44.36.44,1,57
23.49.30.137,1,57
20.100.195.143,1,54
2.20.163.204,1,57
23.44.34.34,1,57
4.177.15.140,1,53
20.100.219.134,1,52
23.44.36.119,1,57
23.49.29.78,1,57
2.20.163.112,1,57
23.44.42.46,1,57
3.167.5.151,1,244
20.251.19.109,1,117
23.44.37.247,1,57
23.45.144.8,1,57
20.251.162.84,1,54
2.18.173.235,1,58
3.167.8.64,1,244
20.251.160.105,1,53
5.100.182.216,0,54
20.251.146.197,1,54
2.20.162.18,1,57
23.49.28.179,1,57
4.220.27.111,1,53
2.20.167.176,1,57
23.36.79.154,1,57
20.100.36.173,1,118
20.100.237.189,1,117
4.220.4.46,1,52
2.20.164.137,1,57
20.251.182.130,1,53
20.157.165.3,1,118
3.167.10.13,1,244
31.24.135.232,1,54
23.44.38.22,1,57
5.100.182.28,0,54
2.22.55.70,1,57
20.100.212.1,1,118
4.220.12.57,1,118
23.36.76.87,1,57
2.20.164.213,1,57
2.18.174.92,1,58
5.100.181.214,0,54
3.167.8.155,1,244
23.44.42.247,1,57
5.83.227.198,1,115
5.158.192.80,1,48
2.18.173.99,1,58
23.49.16.89,1,57
20.100.45.143,1,117
4.220.29.39,1,117
2.18.175.250,1,58
23.49.25.247,1,57
23.44.41.46,1,57
4.220.29.21,1,118
2.18.173.233,1,58
23.49.24.203,1,57
23.49.25.123,1,57
3.167.5.255,1,244
20.251.233.200,1,53
23.44.37.209,1,57
23.49.26.33,1,57
23.49.20.214,1,57
3.167.8.145,1,244
20.251.87.249,1,118
4.220.1.151,1,53
20.38.120.40,1,117
23.49.16.118,1,57
20.251.183.37,1,118
20.251.2.221,1,53
5.249.254.212,1,53
23.49.25.116,1,57
4.235.34.60,1,53
20.251.240.233,1,53
5.100.187.122,0,54
5.249.228.108,0,53
20.251.64.64,1,117
3.167.10.227,1,244
5.180.83.215,0,54
23.44.43.140,1,57
4.220.1.211,1,52
20.100.40.58,1,117
5.100.187.10,0,105
23.44.33.8,1,57
23.44.36.36,1,57
23.44.39.109,1,57
23.33.119.57,1,58
23.44.39.183,1,57
5.100.183.11,0,7
2.18.175.168,1,58
3.167.9.100,1,244
3.167.0.63,1,244
5.100.178.172,0,54
5.226.165.173,0,245
5.226.163.220,0,245
5.226.164.25,0,245
5.226.163.200,0,245
5.226.163.109,0,245
5.226.163.235,0,245
5.45.153.244,0,54
5.226.163.227,0,245
5.226.160.192,0,245
31.24.131.177,0,54
5.226.167.45,0,245
5.226.162.248,0,245
5.226.167.137,0,245
23.49.25.107,1,57
5.249.254.178,0,53
5.100.187.213,0,54
5.100.186.39,0,54
23.45.144.92,1,57
23.49.18.120,1,57
4.235.12.243,1,53
5.100.183.125,0,54
3.166.253.19,1,244
23.44.46.16,1,57
20.100.145.183,1,52
5.100.182.102,0,54
23.49.24.53,1,57
23.44.32.59,1,57
23.36.79.158,1,57
3.167.4.140,1,244
23.44.47.181,1,57
23.49.20.139,1,57
31.24.129.53,1,54
20.251.245.218,1,117
20.251.66.71,1,118
5.100.185.45,0,54
23.44.45.152,1,57
4.235.101.170,1,53
23.44.47.175,1,57
4.220.31.77,1,117
3.167.0.0,1,244
23.49.16.234,1,57
5.100.185.188,0,54
3.167.10.150,1,244
4.220.28.210,1,117
20.251.145.128,1,54
23.44.37.14,1,57
5.83.225.153,0,245
2.18.173.48,1,58
31.24.129.33,1,54
5.100.178.14,0,54
4.235.101.105,1,54
4.235.96.73,1,54
2.20.164.247,1,57
23.49.30.4,1,57
5.100.182.215,0,54
3.167.0.213,1,244
5.45.152.27,0,54
5.226.167.125,0,245
5.226.163.74,0,245
20.100.186.92,1,53
23.44.44.9,1,57
4.235.37.5,1,53
20.251.233.204,1,52
3.166.253.111,1,246
23.44.39.189,1,57
20.251.236.169,1,52
20.100.36.175,1,118
20.251.141.21,1,117
23.44.34.87,1,57
4.220.47.239,1,118
3.166.253.160,1,244
20.251.160.45,1,53
2.20.160.165,1,57
5.226.162.68,1,117
23.49.19.133,1,57
20.251.161.242,1,54
23.49.24.154,1,57
23.44.38.225,1,57
23.214.96.79,1,50
23.45.144.241,1,57
4.235.99.121,1,53
23.49.26.171,1,57
5.83.230.161,0,52
23.49.18.77,1,57
23.44.37.56,1,57
5.100.186.58,0,54
23.49.27.159,1,57
23.44.39.104,1,57
4.235.35.93,1,54
5.83.224.173,0,245
5.83.224.254,1,53
23.44.43.241,1,57
20.251.142.165,1,53
23.33.119.172,1,58
20.100.3.1,1,118
4.220.50.108,1,118
4.219.0.230,1,118
20.251.57.235,1,117
2.20.167.216,1,57
5.83.227.78,0,52
5.100.176.11,0,54
2.20.161.187,1,57
23.49.17.92,1,57
23.44.36.128,1,57
3.166.253.148,1,244
23.49.30.208,1,57
5.249.255.231,1,53
4.220.42.138,1,52
20.251.100.214,1,117
23.45.147.20,1,57
5.249.254.173,1,53
2.18.172.182,1,58
20.100.217.151,1,118
3.167.2.55,1,244
23.44.34.15,1,57
5.100.187.133,0,54
3.167.1.6,1,244
23.49.26.32,1,57
20.251.239.238,1,52
4.235.15.48,1,118
23.49.24.140,1,57
31.24.131.253,0,54
2.20.163.187,1,57
23.44.42.221,1,57
20.251.81.179,1,52
2.18.175.48,1,58
20.251.20.48,1,51
23.45.146.147,1,57
23.49.28.205,1,57
2.20.167.236,1,57
2.18.174.84,1,58
23.49.17.61,1,57
23.44.44.214,1,57
3.167.10.100,1,244
20.251.106.129,1,118
23.44.37.4,1,57
23.44.38.58,1,57
23.49.25.21,1,57
23.33.119.40,1,58
3.167.2.50,1,246
5.83.224.22,0,51
5.100.185.127,0,54
23.44.46.183,1,57
4.219.12.77,1,54
23.44.47.125,1,57
4.220.29.66,1,117
20.251.109.13,1,118
2.20.164.192,1,57
5.100.177.82,0,7
3.167.0.160,1,241
23.44.37.129,1,57
5.100.185.92,0,54
23.49.29.104,1,57
5.249.229.22,0,55
31.24.131.141,0,54
5.45.154.211,0,54
5.226.160.67,0,245
5.226.160.196,0,245
5.180.83.90,0,56
31.24.134.204,0,54
5.226.160.36,0,245
5.226.166.230,0,245
5.226.167.129,0,245
5.45.153.21,0,54
20.100.57.162,1,117
5.100.187.227,0,54
5.226.162.130,1,117
5.83.224.197,0,244
23.44.41.178,1,57
23.49.21.156,1,57
23.49.29.234,1,57
20.251.94.34,1,118
31.24.134.232,0,54
3.166.254.249,1,241
5.252.244.212,0,57
31.24.132.184,0,54
5.226.165.231,0,245
5.226.166.35,0,245
5.226.164.146,0,245
5.226.167.68,0,245
31.24.131.0,0,54
23.44.42.165,1,57
23.49.23.134,1,57
23.49.20.47,1,57
23.49.21.104,1,57
