saddr,success,ttl
2.20.160.155,1,57
2.18.173.47,1,58
2.20.161.204,1,57
2.20.167.240,1,57
2.18.172.44,1,58
2.18.173.20,1,58
2.20.165.120,1,57
2.20.165.21,1,57
2.18.175.191,1,58
2.20.167.174,1,57
2.20.163.95,1,57
2.18.172.219,1,58
2.20.160.223,1,57
2.18.172.118,1,58
2.20.167.94,1,57
2.18.175.11,1,58
2.18.174.87,1,58
2.20.163.89,1,57
2.18.172.85,1,58
2.18.175.229,1,58
2.18.173.35,1,58
2.18.175.138,1,58
2.20.164.96,1,57
2.18.175.67,1,58
2.20.160.12,1,57
2.20.164.60,1,57
2.18.172.147,1,58
2.20.162.113,1,57
2.20.166.79,1,57
2.20.161.66,1,57
2.18.174.66,1,58
2.20.165.211,1,57
2.20.160.252,1,57
2.18.172.141,1,58
2.20.164.124,1,57
2.18.175.237,1,58
2.18.172.52,1,58
2.20.165.37,1,57
2.18.172.64,1,58
2.18.172.49,1,58
2.20.167.118,1,57
2.18.172.71,1,58
2.18.174.41,1,58
2.20.162.164,1,57
2.20.161.212,1,57
2.20.167.200,1,57
2.18.172.11,1,58
2.20.165.108,1,57
2.20.166.101,1,57
2.20.166.82,1,57
2.18.174.59,1,58
2.18.174.191,1,58
2.20.160.172,1,57
2.18.175.218,1,58
2.20.166.171,1,57
2.20.167.217,1,57
2.18.172.197,1,58
2.18.173.24,1,58
2.20.161.211,1,57
2.20.164.40,1,57
2.20.165.144,1,57
2.20.161.205,1,57
2.20.161.249,1,57
2.20.163.144,1,57
2.20.161.36,1,57
2.20.163.103,1,57
2.18.173.183,1,58
2.18.173.170,1,58
2.18.173.18,1,58
2.20.161.114,1,57
2.18.172.99,1,58
2.18.173.209,1,58
2.20.164.156,1,57
2.18.172.159,1,58
2.20.165.226,1,57
2.20.165.91,1,57
2.20.164.240,1,57
2.20.163.171,1,57
2.20.161.96,1,57
2.20.160.11,1,57
2.18.175.225,1,58
2.20.167.41,1,57
2.18.173.174,1,58
2.18.174.206,1,58
2.20.165.185,1,57
2.18.175.97,1,58
2.20.166.36,1,57
2.20.164.238,1,57
2.20.165.24,1,57
2.20.167.120,1,57
2.18.172.168,1,58
2.18.172.129,1,58
2.20.165.248,1,57
2.20.163.136,1,57
2.18.172.207,1,58
2.20.167.156,1,57
2.20.160.206,1,57
2.20.167.32,1,57
2.20.165.249,1,57
2.20.160.160,1,57
2.20.163.196,1,57
2.20.164.25,1,57
2.20.164.152,1,57
2.20.162.69,1,57
2.18.173.75,1,58
2.20.165.94,1,57
2.20.161.168,1,57
2.20.163.177,1,57
2.18.172.225,1,58
2.20.165.253,1,57
2.20.160.43,1,57
2.18.172.143,1,58
2.20.163.64,1,57
2.18.173.216,1,58
2.20.167.104,1,57
2.18.174.69,1,58
2.20.160.48,1,57
2.18.175.247,1,58
2.20.164.245,1,57
2.20.163.219,1,57
2.20.165.145,1,57
2.18.173.37,1,58
2.18.172.60,1,58
2.20.162.45,1,57
2.20.167.192,1,57
2.20.161.151,1,57
2.20.164.68,1,57
