scan_timestamp,run_id,ip,ip_block,port,status,ttl,source
2025-09-28T14:35:11Z,2025-09-28T14-35-03Z,158.37.63.56,158.37.63.0/24,443,open,56,zmap
2025-09-28T14:35:11Z,2025-09-28T14-35-03Z,158.37.63.199,158.37.63.0/24,443,open,57,zmap
2025-09-28T14:35:11Z,2025-09-28T14-35-03Z,158.37.63.159,158.37.63.0/24,443,open,56,zmap
2025-09-28T14:35:11Z,2025-09-28T14-35-03Z,158.37.63.10,158.37.63.0/24,443,closed,57,zmap
2025-09-28T14:35:11Z,2025-09-28T14-35-03Z,158.37.63.244,158.37.63.0/24,443,open,56,zmap
2025-09-28T14:35:11Z,2025-09-28T14-35-03Z,158.37.63.96,158.37.63.0/24,443,open,54,zmap
