saddr,success,ttl
158.37.63.10,0,56
158.37.63.56,1,56
158.37.63.111,0,56
158.37.63.88,1,54
158.37.63.160,1,56
158.37.63.133,0,57
158.37.63.55,0,56
158.37.63.93,1,57
158.37.63.51,1,56
158.37.63.159,1,55
158.37.63.96,1,54
158.37.63.244,1,55
158.37.63.54,1,56
158.37.63.178,0,55
158.37.63.139,0,57
158.37.63.148,0,56
158.37.63.229,1,56
158.37.63.15,0,57
158.37.63.62,1,57
158.37.63.168,1,56
158.37.63.250,1,58
158.37.63.87,0,56
158.37.63.38,1,55
158.37.63.131,1,56
158.37.63.35,1,57
158.37.63.22,0,57
158.37.63.86,1,56
158.37.63.205,0,57
158.37.63.58,1,56
158.37.63.114,1,56
158.37.63.9,1,56
158.37.63.2,1,57
158.37.63.43,1,56
158.37.63.199,1,57
158.37.63.36,1,56
158.37.63.123,0,57
158.37.63.213,1,57
