saddr,success,ttl
193.215.148.191,0,245
81.95.92.185,0,49
84.48.86.200,0,113
81.95.92.27,0,49
185.126.38.41,0,50
79.171.80.92,0,242
85.93.241.207,0,48
80.203.18.25,0,51
82.134.43.197,0,52
193.160.106.9,0,241
193.213.86.9,0,246
89.9.174.189,0,47
85.221.112.211,0,47
84.205.36.246,0,45
45.137.86.56,0,50
62.50.164.93,0,243
91.135.50.243,0,48
80.239.127.99,0,239
188.94.220.45,0,50
45.138.212.199,1,51
85.200.230.144,0,243
80.212.110.160,0,55
217.170.205.20,1,49
84.49.164.69,0,51
158.39.114.116,1,42
85.200.244.192,0,244
81.88.68.57,0,49
85.93.235.124,0,48
193.212.90.157,0,245
213.52.49.128,0,50
213.52.48.166,0,50
89.10.252.85,0,49
79.161.49.220,0,245
85.200.240.163,0,244
104.143.252.205,0,52
84.49.165.208,0,50
62.92.144.186,0,243
89.9.189.56,0,46
194.248.34.137,0,244
109.247.110.201,0,244
109.189.145.16,0,54
89.10.118.120,0,51
77.40.150.2,0,51
212.33.143.186,0,51
84.48.105.89,0,50
45.88.124.166,0,111
78.26.35.167,0,240
81.93.160.105,0,243
84.48.56.253,0,50
88.94.66.103,0,246
51.120.1.114,1,49
84.202.28.186,0,52
82.116.67.229,0,243
84.48.65.60,0,49
88.91.138.83,0,118
89.10.224.47,0,52
82.134.78.187,0,243
91.135.48.123,0,50
89.10.169.175,0,50
79.174.18.245,0,239
141.195.34.122,1,42
195.1.251.109,0,241
78.26.60.17,0,47
89.10.241.176,0,50
137.221.28.8,0,241
5.83.224.234,0,47
85.166.142.36,0,53
178.174.113.221,0,50
77.223.165.250,0,48
38.180.1.183,1,51
84.234.251.133,0,51
78.31.80.229,0,51
91.90.42.25,0,54
78.26.38.21,0,240
148.122.180.0,0,242
136.234.164.138,0,49
81.167.49.136,0,242
185.174.85.244,1,52
89.10.150.247,0,49
193.213.16.61,0,246
195.0.225.43,0,50
86.62.150.51,0,47
212.33.152.145,0,242
185.142.196.70,0,242
81.166.10.80,0,244
212.67.52.109,0,243
141.227.166.76,1,50
88.84.38.124,0,235
79.161.57.219,1,51
84.49.150.227,0,50
178.174.113.242,0,50
83.108.70.14,0,52
213.128.188.205,0,50
46.227.158.28,0,50
85.221.39.199,0,243
148.122.4.2,0,48
193.69.236.141,0,50
81.167.90.241,0,242
77.223.164.109,0,48
193.215.176.201,0,242
81.166.15.120,0,244
213.138.170.180,0,50
82.134.94.5,0,243
141.195.36.87,1,41
178.248.96.24,0,48
195.0.231.232,0,50
88.88.44.71,0,55
158.36.191.199,1,49
185.47.41.204,1,48
62.50.179.80,0,51
79.161.140.104,0,244
79.160.229.94,0,52
194.248.34.33,0,245
213.52.34.47,0,241
158.39.75.236,1,52
141.0.136.88,0,95
212.67.61.28,0,47
91.135.50.178,0,48
84.211.180.53,0,50
20.100.203.145,1,47
141.0.8.160,1,49
79.161.141.115,0,245
62.97.206.16,0,244
84.205.57.72,0,46
77.223.161.182,0,48
46.66.166.232,0,50
45.88.125.5,0,111
185.92.211.38,0,49
84.49.189.40,0,51
62.97.249.219,0,243
213.145.189.149,0,243
93.124.128.161,0,240
213.128.166.178,0,50
213.236.200.192,1,49
89.250.121.215,0,244
85.93.227.184,0,48
178.248.99.87,0,48
77.223.163.173,0,48
92.220.175.115,0,53
157.22.123.37,0,50
217.149.113.121,0,243
85.164.214.38,0,52
195.1.28.28,0,49
195.139.88.165,0,48
136.234.165.96,0,50
37.26.213.86,0,243
46.203.127.3,0,51
188.124.148.11,0,48
139.164.152.136,0,243
85.93.235.27,0,30
141.0.91.244,0,243
109.247.239.210,0,52
89.250.122.28,0,242
62.92.72.56,0,243
46.203.63.13,0,52
79.160.39.163,0,244
195.225.4.57,0,243
193.215.162.103,0,243
89.207.137.4,0,49
141.195.41.57,0,42
81.167.16.1,0,245
79.171.84.238,0,243
