saddr,success,ttl
2.20.163.139,1,57
2.18.175.217,1,58
2.20.163.104,1,57
2.20.163.24,1,57
2.20.160.235,1,57
2.20.164.110,1,57
2.20.160.160,1,57
2.20.167.233,1,57
2.20.166.41,1,57
2.18.175.182,1,58
2.18.175.237,1,58
2.20.163.14,1,57
2.18.172.34,1,58
2.18.172.49,1,58
2.20.163.135,1,57
2.20.162.189,1,57
2.20.165.97,1,57
2.18.172.76,1,58
2.20.161.33,1,57
2.20.162.69,1,57
2.20.167.162,1,57
2.18.174.35,1,58
2.20.167.129,1,57
2.18.173.18,1,58
2.20.161.250,1,57
2.18.173.232,1,58
2.20.163.42,1,57
2.18.173.75,1,58
2.18.173.54,1,58
2.20.165.149,1,57
2.20.165.233,1,57
2.20.166.252,1,57
2.20.164.117,1,57
2.23.13.123,1,58
2.20.163.215,1,57
2.20.165.36,1,57
2.23.13.57,1,58
2.20.167.147,1,57
2.22.55.124,1,57
2.18.174.38,1,58
2.18.172.43,1,58
2.22.225.73,1,57
2.20.164.44,1,57
2.18.175.61,1,58
2.18.172.147,1,58
2.20.164.205,1,57
2.20.164.169,1,57
2.20.165.161,1,57
2.20.163.47,1,57
2.20.160.134,1,57
2.20.165.163,1,57
2.20.165.60,1,57
2.20.166.51,1,57
2.20.165.200,1,57
2.23.13.129,1,58
2.18.174.68,1,58
2.20.164.233,1,57
2.20.160.50,1,57
2.18.172.124,1,58
2.20.167.59,1,57
2.18.174.210,1,58
2.20.162.250,1,57
2.20.160.171,1,57
2.18.173.226,1,58
2.20.163.198,1,57
2.23.13.108,1,58
2.20.166.111,1,57
2.20.164.80,1,57
2.20.161.23,1,57
2.20.161.7,1,57
2.20.162.44,1,57
2.18.173.19,1,58
2.18.175.156,1,58
2.22.55.109,1,57
2.18.173.126,1,58
2.20.163.249,1,57
2.20.167.173,1,57
2.20.166.133,1,57
2.18.174.223,1,58
2.18.175.177,1,58
2.18.173.113,1,58
2.18.173.2,1,58
2.20.163.33,1,57
2.20.160.198,1,57
2.18.175.140,1,58
2.20.164.102,1,57
2.18.172.109,1,58
2.20.165.241,1,57
2.20.162.188,1,57
2.18.174.177,1,58
2.20.160.188,1,57
2.20.163.128,1,57
2.18.175.73,1,58
2.18.175.210,1,58
2.22.55.125,1,57
2.18.173.177,1,58
2.18.172.247,1,58
2.20.162.106,1,57
2.18.173.81,1,58
2.18.174.53,1,58
2.20.165.119,1,57
2.20.163.189,1,57
2.20.166.182,1,57
2.23.13.103,1,58
2.18.172.112,1,58
2.20.163.247,1,57
2.18.173.49,1,58
2.18.173.101,1,58
2.22.55.113,1,57
2.20.161.134,1,57
2.20.163.52,1,57
2.20.167.101,1,57
2.22.225.8,1,57
2.18.175.47,1,58
2.20.160.34,1,57
2.22.225.115,1,57
2.20.162.140,1,57
2.22.225.253,1,57
2.18.172.92,1,58
2.18.175.229,1,58
2.18.175.76,1,58
2.20.164.127,1,57
2.18.174.225,1,58
2.18.174.252,1,58
2.20.164.253,1,57
2.18.174.107,1,58
2.20.161.62,1,57
2.20.161.147,1,57
2.20.160.154,1,57
2.22.225.78,1,57
2.20.163.175,1,57
2.18.175.126,1,58
2.20.165.251,1,57
2.22.55.106,1,57
2.18.174.113,1,58
2.20.161.97,1,57
2.20.165.194,1,57
2.20.164.217,1,57
2.20.162.82,1,57
2.18.172.77,1,58
2.20.164.56,1,57
2.20.167.145,1,57
2.20.160.33,1,57
2.18.173.130,1,58
2.18.173.61,1,58
2.18.172.78,1,58
2.18.172.194,1,58
2.20.166.84,1,57
2.20.162.28,1,57
2.20.165.190,1,57
2.18.173.201,1,58
2.18.172.17,1,58
2.18.175.79,1,58
2.18.174.7,1,58
2.18.173.107,1,58
2.20.162.151,1,57
2.18.174.124,1,58
2.22.225.116,1,57
2.20.160.7,1,57
2.20.161.226,1,57
2.20.163.13,1,57
2.20.164.250,1,57
2.18.172.127,1,58
2.20.161.203,1,57
2.22.55.94,1,57
2.18.172.186,1,58
2.20.167.7,1,57
2.18.175.110,1,58
2.20.160.60,1,57
2.20.167.220,1,57
2.20.166.180,1,57
2.20.162.13,1,57
2.20.160.120,1,57
2.18.173.144,1,58
2.18.175.26,1,58
2.20.167.137,1,57
2.18.172.44,1,58
2.18.172.47,1,58
2.18.172.207,1,58
2.20.165.219,1,57
2.20.165.39,1,57
2.20.160.96,1,57
2.18.172.83,1,58
2.18.174.234,1,58
2.18.172.146,1,58
2.20.164.71,1,57
2.18.175.141,1,58
2.20.166.19,1,57
2.18.172.119,1,58
2.20.166.191,1,57
2.20.160.156,1,57
2.20.163.65,1,57
2.20.161.19,1,57
2.22.225.125,1,57
2.20.167.241,1,57
2.20.166.36,1,57
2.20.164.140,1,57
2.18.173.194,1,58
2.20.160.192,1,57
2.23.13.125,1,58
2.20.163.73,1,57
2.18.172.209,1,58
2.20.164.226,1,57
2.20.166.76,1,57
2.18.173.140,1,58
2.18.173.170,1,58
2.22.225.34,1,57
2.20.161.21,1,57
2.18.172.115,1,58
2.20.165.189,1,57
2.20.166.137,1,57
2.20.160.67,1,57
2.20.165.80,1,57
2.20.162.187,1,57
2.20.166.168,1,57
2.22.225.32,1,57
2.20.166.146,1,57
2.20.163.118,1,57
2.18.174.140,1,58
2.20.163.191,1,57
2.20.163.85,1,57
2.18.174.97,1,58
2.20.163.67,1,57
2.18.174.72,1,58
2.18.172.134,1,58
2.20.160.90,1,57
2.22.225.14,1,57
2.20.166.143,1,57
2.20.160.2,1,57
2.22.225.106,1,57
2.22.55.101,1,57
2.18.172.202,1,58
2.18.175.118,1,58
2.18.173.66,1,58
2.18.172.243,1,58
2.18.175.185,1,58
2.20.160.136,1,57
2.20.162.165,1,57
2.20.162.23,1,57
2.18.173.33,1,58
2.20.161.16,1,57
2.18.173.102,1,58
2.18.172.143,1,58
2.20.165.126,1,57
2.20.167.149,1,57
2.20.167.95,1,57
2.20.165.112,1,57
2.20.167.152,1,57
2.18.172.251,1,58
2.20.161.119,1,57
2.18.172.236,1,58
2.20.166.169,1,57
2.20.162.127,1,57
2.20.160.178,1,57
2.20.162.178,1,57
2.18.172.223,1,58
2.18.172.96,1,58
2.23.13.79,1,58
2.18.174.29,1,58
2.20.163.154,1,57
2.18.174.237,1,58
2.18.174.47,1,58
2.20.162.224,1,57
2.20.164.123,1,57
2.20.167.31,1,57
2.20.163.16,1,57
2.20.162.77,1,57
2.18.173.135,1,58
2.20.160.148,1,57
2.20.167.200,1,57
2.18.173.42,1,58
2.20.162.22,1,57
2.20.165.239,1,57
2.20.167.116,1,57
2.20.162.139,1,57
2.18.174.12,1,58
2.20.163.207,1,57
2.20.162.25,1,57
2.18.173.43,1,58
2.20.160.254,1,57
2.22.55.23,1,57
2.20.160.43,1,57
2.22.55.55,1,57
2.20.161.185,1,57
2.20.165.145,1,57
2.18.173.63,1,58
2.20.167.12,1,57
2.18.174.155,1,58
2.18.173.103,1,58
2.20.163.76,1,57
2.20.163.199,1,57
2.18.172.212,1,58
2.18.174.142,1,58
2.20.166.203,1,57
2.20.161.112,1,57
2.20.162.2,1,57
