saddr,success,ttl
23.44.39.143,1,57
23.36.77.235,1,57
5.226.161.207,0,245
3.167.2.120,1,246
5.172.182.254,0,248
23.44.38.150,1,57
23.45.146.118,1,57
20.251.104.161,1,52
4.235.34.181,1,53
23.49.29.18,1,57
23.49.20.184,1,57
4.219.8.200,1,117
23.49.21.201,1,57
20.100.33.2,1,117
23.49.22.6,1,57
4.219.11.18,1,117
23.49.17.13,1,57
20.251.107.244,1,118
20.251.16.11,1,53
23.44.41.176,1,57
23.44.42.197,1,57
23.49.23.51,1,57
31.24.130.159,0,54
23.45.145.104,1,57
23.44.43.149,1,57
23.44.36.221,1,57
4.220.39.8,1,53
3.166.254.230,1,244
5.100.176.81,0,54
23.49.25.25,1,57
3.167.1.155,1,246
20.150.53.101,1,118
20.251.235.188,1,52
2.18.175.55,1,58
5.249.224.22,1,54
3.167.0.1,1,244
5.100.182.125,0,7
5.226.163.97,0,245
20.251.107.140,1,117
2.20.160.195,1,57
20.251.216.88,1,54
5.83.225.125,0,245
20.157.165.64,1,117
20.251.239.139,1,52
20.100.36.148,1,117
31.24.134.103,0,54
23.36.77.212,1,57
20.251.38.45,1,116
5.100.179.45,0,54
31.56.194.123,1,49
5.100.177.167,0,54
5.252.244.33,1,54
5.83.230.112,0,52
5.226.165.105,0,245
5.45.153.133,0,54
23.49.22.112,1,57
2.18.174.193,1,58
2.20.163.195,1,57
20.251.113.70,1,53
20.251.2.153,1,117
3.166.253.21,1,244
20.100.137.21,1,52
3.167.7.148,1,244
5.100.184.38,0,7
20.251.105.172,1,52
5.226.164.227,0,245
20.251.215.68,0,53
23.49.28.218,1,57
5.226.163.240,0,245
5.226.160.93,0,245
23.49.25.160,1,57
5.100.183.110,0,54
31.56.194.139,1,49
5.226.164.153,0,245
3.167.10.139,1,244
20.251.91.121,1,53
5.226.167.81,0,245
5.226.164.57,0,245
5.226.166.253,0,245
5.252.244.104,0,57
23.44.38.7,1,57
2.20.160.91,1,57
5.249.255.74,1,53
2.20.165.198,1,57
20.100.38.41,1,53
5.158.194.52,1,49
5.249.255.135,1,53
2.20.160.251,1,57
5.100.185.195,0,54
2.20.165.30,1,57
23.49.22.168,1,57
20.100.25.11,1,118
5.226.167.228,0,245
5.180.83.8,0,54
5.226.162.72,1,117
20.100.214.197,1,53
20.100.151.9,1,53
23.44.37.246,1,57
23.36.77.197,1,57
5.83.229.166,0,51
4.235.121.219,0,53
5.158.193.135,1,113
20.251.204.71,1,53
2.22.225.34,1,57
2.20.167.165,1,57
23.44.47.73,1,57
20.100.16.3,1,117
23.49.27.244,1,57
3.167.6.207,1,241
20.100.28.249,1,54
5.226.163.209,0,245
23.0.161.29,1,58
23.49.22.135,1,57
23.44.45.84,1,57
2.20.162.196,1,57
13.104.170.100,0,245
3.167.9.130,1,244
23.49.21.182,1,57
23.44.47.117,1,57
20.251.100.66,1,118
3.167.6.108,1,246
23.44.41.62,1,57
20.251.131.107,1,52
20.100.245.242,1,52
20.251.105.55,1,117
23.49.29.82,1,57
23.44.35.84,1,57
23.44.41.223,1,57
23.44.40.126,1,57
23.44.42.142,1,57
2.20.165.28,1,57
23.49.28.144,1,57
2.20.160.59,1,57
23.44.37.86,1,57
23.49.21.7,1,57
23.44.36.130,1,57
3.167.5.5,1,244
5.100.186.170,0,54
3.167.10.186,1,241
5.100.177.241,0,54
23.44.34.7,1,57
2.18.174.95,1,58
5.226.163.148,0,245
5.226.163.172,0,245
20.251.232.67,1,118
20.100.238.21,1,53
5.249.254.126,1,53
4.177.8.17,1,53
20.251.94.208,1,118
3.167.5.200,1,241
3.167.7.252,1,241
20.100.169.218,1,53
2.18.173.165,1,58
4.235.10.144,1,53
4.220.37.82,1,52
5.226.167.193,0,245
20.251.111.159,1,117
23.49.25.87,1,57
23.44.38.194,1,57
5.100.179.10,0,54
5.100.181.132,0,54
5.226.165.99,0,245
23.44.40.77,1,57
20.100.160.208,1,53
20.38.120.69,1,117
20.100.167.105,1,117
20.251.202.190,1,54
2.18.175.109,1,58
3.166.253.227,1,241
23.44.36.137,1,57
5.249.226.166,1,56
20.100.113.221,0,51
20.251.246.52,1,52
20.100.27.196,1,53
3.167.1.9,1,244
23.44.33.213,1,57
20.100.128.30,1,52
5.226.165.252,0,245
5.100.184.158,0,54
20.100.150.140,1,245
20.251.64.244,1,117
20.100.214.72,1,54
23.49.22.122,1,57
23.49.18.160,1,57
5.249.254.186,0,53
23.45.147.237,1,57
5.100.185.125,0,54
23.44.47.202,1,57
3.167.6.249,1,244
5.100.179.233,0,54
20.251.38.155,1,53
20.251.135.103,1,52
20.251.168.2,1,117
23.49.18.68,1,57
20.100.144.38,1,117
2.20.163.79,1,57
20.251.39.80,1,53
23.44.43.184,1,57
23.44.32.135,1,57
5.249.226.73,1,55
2.20.165.78,1,57
5.226.164.180,0,245
23.49.26.185,1,57
2.18.175.51,1,58
20.100.194.203,1,117
5.226.166.167,0,245
23.44.32.152,1,57
20.100.31.165,1,117
20.100.236.254,1,52
23.44.32.235,1,57
3.167.8.141,1,246
20.47.49.29,1,118
4.219.6.157,1,54
5.100.187.250,0,54
5.100.187.202,0,54
23.44.43.237,1,57
31.24.135.180,1,54
23.49.22.11,1,57
23.44.33.191,1,57
23.49.22.5,1,57
31.24.128.227,1,54
20.100.225.239,1,52
20.60.207.100,1,118
3.167.3.173,1,244
4.220.40.160,1,52
31.24.131.94,0,54
23.44.40.59,1,57
23.45.147.79,1,57
20.100.120.184,0,50
3.166.254.244,1,244
3.167.6.31,1,241
23.49.28.244,1,57
23.49.23.215,1,57
31.24.131.74,0,54
2.18.175.227,1,58
20.100.34.20,1,53
4.235.108.199,1,53
3.167.5.250,1,244
5.83.230.128,0,52
2.20.164.164,1,57
3.167.8.164,1,244
2.20.163.134,1,57
3.167.1.31,1,244
5.226.165.67,0,245
20.251.246.214,1,116
2.20.167.133,1,57
2.20.163.96,1,57
23.44.45.113,1,57
4.235.15.191,1,53
20.251.119.20,1,118
23.214.96.80,1,50
23.45.147.151,1,57
2.20.161.241,1,57
4.219.12.40,1,54
