saddr,success,ttl
23.45.144.34,1,57
4.235.102.116,0,53
4.220.24.137,1,52
20.251.185.149,0,53
4.235.110.147,1,54
23.49.29.192,1,57
23.49.18.183,1,57
2.20.161.164,1,57
20.251.87.84,1,52
20.100.121.211,0,50
5.100.182.82,0,54
23.36.77.52,1,57
20.251.84.227,1,117
23.49.18.247,1,57
4.219.1.209,1,53
5.100.181.12,0,54
2.20.161.51,1,57
2.18.174.114,1,58
5.226.165.158,0,245
5.83.230.183,0,52
23.36.79.19,1,57
2.20.160.176,1,57
20.251.5.28,1,118
31.56.194.26,1,50
4.220.9.211,1,53
23.44.38.121,1,57
3.166.254.32,1,244
23.45.144.67,1,57
2.20.166.230,1,57
23.49.29.218,1,57
4.219.2.210,1,116
20.251.110.96,1,53
5.226.161.240,0,245
20.251.21.91,1,117
3.167.0.21,1,244
5.100.181.108,0,54
23.33.119.9,1,58
20.100.175.18,1,118
20.251.223.158,1,54
23.44.36.160,1,57
23.49.30.75,1,57
23.44.36.2,1,57
3.167.8.25,1,241
5.226.161.226,0,245
2.20.166.83,1,57
23.44.32.254,1,57
23.44.45.5,1,57
20.100.72.6,1,113
5.100.184.184,1,52
3.167.3.147,1,241
2.18.174.44,1,58
20.251.131.219,1,117
3.167.6.217,1,246
3.166.254.61,1,244
20.251.194.77,1,53
3.167.7.229,1,244
23.49.17.206,1,57
23.49.20.185,1,57
4.235.1.209,1,54
20.100.48.234,1,53
23.45.144.139,1,57
23.49.29.226,1,57
4.220.28.13,1,53
3.167.5.255,1,244
20.100.131.46,1,117
3.167.0.62,1,244
23.49.29.2,1,57
5.100.184.55,0,54
4.220.153.145,1,115
23.44.44.195,1,57
5.100.181.117,0,7
4.219.2.125,1,53
23.44.45.195,1,57
31.56.194.55,1,49
5.83.230.71,0,52
23.49.22.178,1,57
31.45.7.239,0,56
23.49.16.74,1,57
4.219.1.144,1,53
23.44.32.75,1,57
23.49.19.33,1,57
23.44.45.92,1,57
20.100.44.129,1,117
5.249.255.190,0,53
3.167.0.173,1,244
23.44.41.56,1,57
5.100.186.159,0,54
31.24.135.232,1,54
2.20.161.245,1,57
20.100.185.0,1,53
2.20.166.127,1,57
5.83.230.135,0,52
4.220.3.166,1,53
23.36.79.87,1,57
3.167.2.17,1,246
23.49.23.149,1,57
23.49.27.192,1,57
3.167.7.231,1,244
20.100.34.182,1,53
23.49.23.229,1,57
23.44.40.230,1,57
20.100.132.64,1,118
4.219.13.9,1,54
5.249.255.18,1,53
23.49.20.238,1,57
20.100.232.229,1,118
5.100.176.4,0,54
3.167.1.62,1,246
4.235.112.221,0,53
2.18.173.98,1,58
3.166.254.77,1,246
23.44.40.116,1,57
5.249.252.154,0,53
23.49.23.94,1,57
4.235.35.124,1,53
5.100.187.96,0,54
20.100.121.214,0,50
2.18.175.223,1,58
23.45.145.82,1,57
20.209.24.129,1,117
23.45.147.102,1,57
20.251.80.0,1,53
23.44.41.104,1,57
20.251.66.225,1,53
31.24.135.143,1,54
5.226.166.53,0,245
5.226.160.242,0,245
31.24.134.254,0,54
4.220.4.226,1,116
20.251.234.129,1,52
4.235.107.82,1,53
23.44.40.167,1,57
2.23.13.25,1,58
5.100.176.125,0,54
2.20.163.245,1,57
3.167.7.70,1,244
5.100.180.185,0,54
20.251.3.53,1,53
5.180.47.7,1,49
4.177.22.107,1,53
5.100.176.114,0,54
23.45.144.238,1,57
5.83.227.74,0,52
23.45.147.21,1,57
2.20.164.237,1,57
4.235.122.105,1,52
23.44.43.204,1,57
20.100.36.187,1,118
5.100.182.150,0,54
5.100.183.39,0,54
23.44.39.93,1,57
4.177.10.105,1,52
2.18.175.29,1,58
4.219.4.44,1,52
5.100.179.41,0,39
31.24.130.151,0,54
5.226.163.193,0,245
23.45.144.112,1,57
3.167.3.199,1,241
5.45.152.132,0,54
23.49.28.125,1,57
5.100.177.33,0,7
3.167.2.80,1,244
20.60.207.165,1,117
2.20.163.106,1,57
2.18.172.69,1,58
23.49.17.45,1,57
5.226.167.101,0,245
20.100.137.32,0,53
23.44.34.244,1,57
23.49.24.7,1,57
23.44.34.18,1,57
5.249.252.190,0,53
5.45.152.25,0,54
20.100.144.129,1,117
31.25.223.193,0,244
4.235.37.94,1,117
4.220.1.229,1,53
23.44.32.196,1,57
4.235.38.220,1,118
4.177.10.237,1,117
23.49.16.132,1,57
5.83.225.105,0,243
20.100.221.228,1,52
23.49.19.101,1,57
4.235.104.164,1,117
5.249.228.8,0,53
5.100.179.72,0,105
20.100.0.129,1,117
23.49.31.173,1,57
5.249.251.180,1,53
3.167.4.109,1,246
4.220.24.48,1,53
23.49.21.58,1,57
3.167.1.152,1,244
20.100.24.163,1,118
23.44.32.188,1,57
5.249.254.131,1,53
2.18.174.77,1,58
5.83.230.155,0,52
31.56.194.117,1,49
3.167.7.198,1,244
23.45.147.84,1,57
5.226.162.50,1,117
31.24.128.198,1,54
23.44.36.114,1,57
20.47.48.36,1,117
5.226.167.143,0,245
5.226.166.125,0,245
5.226.166.166,0,245
5.226.165.82,0,245
31.24.131.132,0,54
20.251.182.198,1,52
4.220.8.67,1,53
23.44.46.170,1,57
23.49.20.8,1,57
20.33.194.97,1,117
2.20.163.162,1,57
4.219.9.94,1,52
2.20.161.247,1,57
23.49.30.80,1,57
2.20.166.235,1,57
5.100.176.15,0,54
2.20.167.8,1,57
2.20.165.7,1,57
2.20.162.186,1,57
4.235.97.151,0,53
20.100.219.144,1,117
23.49.20.15,1,57
20.100.130.190,1,118
4.220.44.87,1,117
20.209.25.101,1,117
23.49.29.204,1,57
4.219.12.34,1,53
23.44.47.155,1,57
4.220.18.28,1,117
20.100.33.128,1,118
23.0.161.10,1,58
20.100.250.206,1,118
5.249.254.20,1,53
20.100.239.42,1,53
20.100.167.105,1,117
20.100.137.125,1,53
2.20.165.19,1,57
4.177.8.196,1,52
31.24.135.130,1,54
20.100.45.0,1,53
5.100.181.100,0,54
2.20.165.90,1,57
31.45.35.94,0,56
3.166.254.148,1,246
4.220.31.62,1,52
3.167.9.198,1,244
23.49.18.149,1,57
23.49.29.153,1,57
20.251.13.178,1,53
23.44.34.74,1,57
23.44.45.102,1,57
23.49.24.167,1,57
23.49.26.78,1,57
23.44.46.107,1,57
4.235.102.27,1,245
5.100.184.64,0,54
23.36.77.67,1,57
20.100.254.223,1,118
20.251.40.158,1,117
2.20.164.192,1,57
23.49.26.238,1,57
20.251.101.226,1,117
23.44.39.64,1,57
20.251.33.226,1,117
3.167.2.14,1,241
23.44.34.129,1,57
23.49.24.139,1,57
20.251.105.229,1,54
23.44.36.43,1,57
2.20.166.189,1,57
23.45.144.51,1,57
23.45.145.251,1,57
23.49.20.158,1,57
23.44.40.93,1,57
20.251.131.95,1,52
3.167.6.211,1,241
31.56.194.62,1,49
20.251.212.215,1,117
23.44.32.157,1,57
4.220.24.4,1,53
23.49.18.152,1,57
4.220.157.235,1,114
23.44.43.104,1,57
4.220.25.190,1,52
20.251.8.85,1,53
20.251.160.135,0,53
23.44.34.142,1,57
5.249.254.204,1,53
2.18.174.6,1,58
2.20.162.191,1,57
2.20.161.222,1,57
23.44.38.124,1,57
23.36.76.162,1,57
4.235.101.188,1,54
20.100.208.201,1,118
23.49.29.79,1,57
23.44.40.59,1,57
20.100.54.59,1,117
3.167.3.37,1,244
3.167.0.180,1,244
5.100.180.143,0,54
4.235.96.76,0,53
23.49.23.148,1,57
20.100.178.36,1,118
2.20.166.94,1,57
23.44.42.47,1,57
2.18.173.127,1,58
5.226.164.247,0,245
5.226.167.174,0,245
5.226.165.219,0,245
31.24.130.179,0,54
5.226.163.201,0,245
5.226.160.34,0,245
31.24.131.162,0,54
31.24.130.187,0,54
5.45.153.174,0,54
2.20.161.217,1,57
5.100.181.137,0,54
2.18.174.7,1,58
23.49.28.128,1,57
4.219.15.44,1,54
20.251.232.116,1,53
2.20.166.73,1,57
20.251.139.9,1,117
5.83.230.68,0,52
3.167.0.234,1,244
5.100.184.60,0,54
