saddr,success,ttl
2.20.160.218,1,57
2.20.160.121,1,57
2.20.160.7,1,57
2.20.160.44,1,57
2.20.160.226,1,57
2.20.160.212,1,57
2.20.160.132,1,57
2.20.160.55,1,57
2.20.160.108,1,57
2.20.160.54,1,57
2.20.160.33,1,57
2.20.160.50,1,57
2.20.160.97,1,57
2.20.160.239,1,57
2.20.160.70,1,57
2.20.160.174,1,57
2.20.160.40,1,57
2.20.160.213,1,57
2.20.160.46,1,57
2.20.160.9,1,57
2.20.160.56,1,57
2.20.160.135,1,57
2.20.160.107,1,57
2.20.160.207,1,57
2.20.160.41,1,57
2.20.160.138,1,57
2.20.160.189,1,57
2.20.160.164,1,57
2.20.160.99,1,57
2.20.160.144,1,57
2.20.160.178,1,57
2.20.160.61,1,57
2.20.160.82,1,57
2.20.160.23,1,57
2.20.160.96,1,57
2.20.160.153,1,57
2.20.160.184,1,57
2.20.160.131,1,57
2.20.160.18,1,57
2.20.160.88,1,57
2.20.160.74,1,57
2.20.160.163,1,57
2.20.160.186,1,57
2.20.160.152,1,57
2.20.160.142,1,57
2.20.160.127,1,57
2.20.160.104,1,57
2.20.160.29,1,57
2.20.160.188,1,57
2.20.160.254,1,57
2.20.160.236,1,57
2.20.160.87,1,57
2.20.160.166,1,57
2.20.160.39,1,57
2.20.160.95,1,57
2.20.160.145,1,57
2.20.160.162,1,57
2.20.160.247,1,57
2.20.160.187,1,57
2.20.160.17,1,57
2.20.160.208,1,57
2.20.160.227,1,57
2.20.160.235,1,57
2.20.160.198,1,57
2.20.160.90,1,57
2.20.160.94,1,57
2.20.160.179,1,57
2.20.160.38,1,57
2.20.160.129,1,57
2.20.160.183,1,57
2.20.160.220,1,57
2.20.160.60,1,57
2.20.160.106,1,57
2.20.160.137,1,57
2.20.160.176,1,57
2.20.160.248,1,57
2.20.160.241,1,57
2.20.160.201,1,57
2.20.160.167,1,57
2.20.160.80,1,57
2.20.160.223,1,57
2.20.160.69,1,57
2.20.160.126,1,57
2.20.160.237,1,57
2.20.160.185,1,57
2.20.160.71,1,57
2.20.160.221,1,57
2.20.160.3,1,57
2.20.160.205,1,57
2.20.160.64,1,57
2.20.160.65,1,57
2.20.160.172,1,57
2.20.160.134,1,57
2.20.160.155,1,57
2.20.160.159,1,57
2.20.160.57,1,57
2.20.160.124,1,57
2.20.160.42,1,57
2.20.160.66,1,57
